Ward,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Brunswick Park,4,4,3,6,9,5,12,8,6,11,2,8,8,3,8,4,3,3,12,9,6,9,9,10,3,7,4,3,6,9,9,4,5,7,14,13
Burnt Oak,5,3,10,8,7,11,10,13,11,7,7,13,17,14,9,7,9,11,12,8,9,9,18,9,2,14,17,6,9,7,6,14,12,11,4,10
Childs Hill,17,12,16,25,21,12,19,10,14,18,11,21,12,11,22,19,26,11,17,27,15,16,8,17,19,30,21,16,19,24,28,40,28,26,25,20
Colindale,7,16,10,8,16,17,18,36,14,12,13,28,15,9,12,13,9,10,10,11,14,29,14,23,15,19,11,19,15,15,17,10,16,18,14,16
Coppetts,5,7,5,7,9,13,19,13,10,10,11,8,7,5,6,6,7,10,3,10,8,11,10,7,9,7,8,9,8,9,15,7,4,17,4,10
East Barnet,5,5,9,4,4,8,9,12,3,6,2,9,5,11,6,6,5,7,14,8,3,9,3,3,2,7,6,5,2,6,10,5,11,9,5,8
East Finchley,1,7,3,5,5,10,14,8,10,10,7,12,10,4,11,13,8,9,10,8,6,9,13,8,4,17,9,7,6,12,4,3,6,5,5,9
Edgware,8,8,8,16,16,11,12,17,11,5,7,9,7,8,7,2,3,6,9,10,8,12,10,9,10,5,15,7,7,12,14,8,8,8,9,15
Finchley Church End,5,8,7,8,16,16,20,13,14,19,10,23,3,13,12,9,9,9,12,14,11,14,13,9,10,12,6,7,9,8,10,7,15,10,16,18
Garden Suburb,7,8,13,8,20,20,27,9,12,4,12,14,8,7,14,7,12,10,12,5,11,13,7,10,9,7,10,17,7,8,13,14,9,14,7,12
Golders Green,7,11,7,9,16,18,18,16,12,10,9,21,9,14,10,8,5,8,11,12,11,12,11,8,6,13,9,11,14,11,16,14,10,14,15,17
Hale,4,6,2,3,6,6,11,10,7,9,6,12,9,4,4,5,3,10,13,12,10,6,11,21,4,7,4,12,7,5,9,8,11,7,7,4
Hendon,9,10,14,13,16,16,15,16,17,12,21,23,19,10,10,9,13,12,14,11,30,17,11,29,17,18,12,11,2,7,22,15,12,13,9,12
High Barnet,3,7,10,6,15,18,10,12,4,10,2,14,6,5,10,5,9,7,6,6,8,8,3,7,13,8,7,6,8,8,8,9,2,5,5,6
Mill Hill,14,9,6,9,17,10,15,16,12,11,11,8,13,3,7,8,9,14,15,18,13,19,15,8,11,8,6,14,8,15,14,11,21,19,18,8
Oakleigh,2,10,12,12,7,8,18,18,12,3,4,8,11,6,7,1,8,1,6,6,11,7,3,7,5,9,9,8,5,5,2,9,12,3,2,5
Totteridge,5,5,9,10,11,9,13,9,3,4,7,6,5,2,4,3,3,7,8,2,4,8,15,4,13,5,8,7,8,7,10,17,16,10,12,13
Underhill,6,4,3,5,8,4,10,16,12,5,8,6,9,8,2,2,7,5,3,8,2,3,1,3,3,8,7,3,2,2,4,8,5,11,5,5
West Finchley,5,3,1,9,6,9,11,14,7,12,10,10,9,4,9,9,2,7,6,7,4,9,9,7,6,4,8,5,12,6,13,13,8,14,4,11
West Hendon,7,14,7,4,11,13,8,11,12,11,13,8,16,4,8,13,7,10,5,13,5,10,6,9,6,7,9,10,13,8,11,12,8,13,11,10
Woodhouse,3,3,11,11,3,20,11,24,9,4,12,11,4,6,9,6,8,11,15,14,10,13,12,10,4,6,9,7,4,5,13,18,9,8,8,9
